2026-07-05 02:33:17 | DEBUG    | src.preprocessing | _detect_isolation_forest:532 | Isolation Forest: 432 / 8640 samples flagged as outliers.
2026-07-05 02:33:17 | INFO     | src.preprocessing | detect_and_treat:435 | Total rows flagged as outliers: 768 (8.89%)
2026-07-05 02:33:17 | INFO     | src.preprocessing | pipeline_timer:232 | ✅ END   — OutlierDetector.detect_and_treat  (0.261 s)
2026-07-05 02:33:17 | INFO     | src.utils | split_dataframe_temporal:556 | Temporal split → train=6048  val=1296  test=1296
2026-07-05 02:33:17 | INFO     | src.preprocessing | fit:652 | Fitting robust on 19 columns.
2026-07-05 02:33:17 | INFO     | src.preprocessing | transform:682 | Scaled 19 columns using robust.
2026-07-05 02:33:17 | INFO     | src.preprocessing | transform:682 | Scaled 19 columns using robust.
2026-07-05 02:33:17 | INFO     | src.preprocessing | transform:682 | Scaled 19 columns using robust.
2026-07-05 02:33:17 | INFO     | src.preprocessing | run:822 | Preprocessing complete: train=6048  val=1296  test=1296
2026-07-05 02:33:17 | INFO     | __main__ | pipeline_timer:232 | ✅ END   — Full Preprocessing  (0.392 s)
2026-07-05 02:33:17 | INFO     | __main__ | run_phase1_pipeline:239 | 
[STEP 8] Feature Engineering
2026-07-05 02:33:17 | INFO     | src.feature_engineering | __init__:393 | FeatureEngineeringPipeline initialised.
2026-07-05 02:33:17 | INFO     | __main__ | pipeline_timer:222 | ⏱  START — Full Feature Engineering
2026-07-05 02:33:17 | INFO     | src.feature_engineering | run:410 | ============================================================
2026-07-05 02:33:17 | INFO     | src.feature_engineering | run:411 | Starting Feature Engineering Pipeline
2026-07-05 02:33:17 | INFO     | src.feature_engineering | run:412 | ============================================================
2026-07-05 02:33:17 | INFO     | src.feature_engineering | run:413 | Input shape: (6048, 22)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:222 | ⏱  START — FeatureEngineering.temporal
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:128 | Added column: Hour
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:132 | Added column: Month
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:141 | Added column: Season
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:232 | ✅ END   — FeatureEngineering.temporal  (0.013 s)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:222 | ⏱  START — FeatureEngineering.cyclic
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:197 | Added cyclic columns: LocalTime_sin, LocalTime_cos  (period=24.00)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:197 | Added cyclic columns: DayOfYear_sin, DayOfYear_cos  (period=365.25)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | transform:197 | Added cyclic columns: Month_sin, Month_cos  (period=12.00)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:232 | ✅ END   — FeatureEngineering.cyclic  (0.008 s)
2026-07-05 02:33:17 | INFO     | src.feature_engineering | pipeline_timer:222 | ⏱  START — FeatureEngineering.tec_derived
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:287 | Added: TEC_diff1
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:296 | Added: TEC_gradient
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:303 | Added: TEC_lag1  (lag=1)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:303 | Added: TEC_lag2  (lag=2)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:303 | Added: TEC_lag3  (lag=3)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:314 | Added: TEC_roll_mean_3  (window=3)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:314 | Added: TEC_roll_mean_6  (window=6)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:314 | Added: TEC_roll_mean_12  (window=12)
2026-07-05 02:33:17 | DEBUG    | src.feature_engineering | _compute_features:325 | Added: TEC_roll_std_3  (window=3)
